date,doy,twd131,twd132,twd134,twd136,twd137
5/10/22,130,0,0,0,0,0
5/11/22,131,0,0,0,0,0
5/12/22,132,0,0,0,0,0
5/13/22,133,0,0,0,0,0
5/14/22,134,0,0,0,0,0
5/15/22,135,0,0,0,0,0
5/16/22,136,0,0,0,0,0
5/17/22,137,0,0,0,0,0
5/18/22,138,0,0,0,0,0
5/19/22,139,0,0,0,0,0
5/20/22,140,0,0,0,0,0
5/21/22,141,0,0,0,0,0
5/22/22,142,0,0,0,0,0
5/23/22,143,0,0,0,0,0
5/24/22,144,0,0,0,0,0
5/25/22,145,0,0,0,0,0
5/26/22,146,0,0,0,0,0
5/27/22,147,0,0,0,0,0
5/28/22,148,0,0,0,0,0
5/29/22,149,0,0,0,0,0
5/30/22,150,0,0,0,0,0
5/31/22,151,0,0,0,0,0
6/1/22,152,0,0,0,0,0
6/2/22,153,0,0,0,0,0
6/3/22,154,0,0,0,0,0
6/4/22,155,0,0,0,0,0
6/5/22,156,0,0,0,0,0
6/6/22,157,0,0,0,0,0
6/7/22,158,0,0,0,0,0
6/8/22,159,0,0,0,0,0
6/9/22,160,0,0,0,0,0
6/10/22,161,0,0,0,43,0
6/11/22,162,0,0,0,48,0
6/12/22,163,0,0,0,42,0
6/13/22,164,0,0,0,37,0
6/14/22,165,0,0,0,39,0
6/15/22,166,0,0,0,36,0
6/16/22,167,12,0,17,41,0
6/17/22,168,90,0,75,41,0
6/18/22,169,73,7,74,65,0
6/19/22,170,70,5,81,66,1
6/20/22,171,68,0,85,58,0
6/21/22,172,71,0,94,0,0
6/22/22,173,91,0,139,0,1
6/23/22,174,134,0,176,0,2
6/24/22,175,147,0,223,0,0
6/25/22,176,150,0,220,0,1
6/26/22,177,161,0,218,0,2
6/27/22,178,183,0,211,0,2
6/28/22,179,209,0,198,0,0
6/29/22,180,206,0,188,0,0
6/30/22,181,205,0,182,0,0
7/1/22,182,205,0,161,0,0
7/2/22,183,206,0,141,0,0
7/3/22,184,208,0,116,0,0
7/4/22,185,204,0,89,0,0
7/5/22,186,206,0,88,0,0
7/6/22,187,172,0,0,0,0
7/7/22,188,192,1,0,0,0
7/8/22,189,174,0,0,0,0
7/9/22,190,165,0,0,0,0
7/10/22,191,155,0,14,0,0
7/11/22,192,124,0,0,0,0
7/12/22,193,107,0,0,0,0
7/13/22,194,74,0,0,0,0
7/14/22,195,32,0,0,0,0
7/15/22,196,3,0,0,0,0
7/16/22,197,0,0,0,0,0
7/17/22,198,0,0,0,0,0
7/18/22,199,0,0,0,0,0
7/19/22,200,0,0,0,0,0
7/20/22,201,0,3,0,0,0
7/21/22,202,0,11,0,0,0
7/22/22,203,0,0,0,0,0
7/23/22,204,0,0,0,0,0
7/24/22,205,0,0,0,0,0
7/25/22,206,0,0,0,0,0
7/26/22,207,0,14,0,0,0
7/27/22,208,0,31,0,0,0
7/28/22,209,0,28,0,0,0
7/29/22,210,0,7,0,0,0
7/30/22,211,0,59,3,0,0
7/31/22,212,0,11,0,0,0
8/1/22,213,0,2,0,0,0
8/2/22,214,0,31,0,0,0
8/3/22,215,0,51,0,0,0
8/4/22,216,0,71,2,0,0
8/5/22,217,2,68,0,0,0
8/6/22,218,0,66,0,0,0
8/7/22,219,0,66,0,0,0
8/8/22,220,0,64,0,0,0
8/9/22,221,0,36,0,0,0
8/10/22,222,0,16,0,0,0
8/11/22,223,0,37,3,0,0
8/12/22,224,0,0,4,0,0
8/13/22,225,23,86,81,14,0
8/14/22,226,15,77,75,8,0
8/15/22,227,4,77,72,2,1
8/16/22,228,0,72,70,0,1
8/17/22,229,0,78,68,0,3
8/18/22,230,0,75,73,1,10
8/19/22,231,3,78,71,4,8
8/20/22,232,0,95,74,0,2
8/21/22,233,0,102,72,0,0
8/22/22,234,0,103,74,1,2
8/23/22,235,0,101,74,0,1
8/24/22,236,14,79,84,0,18
8/25/22,237,12,81,123,0,71
8/26/22,238,11,78,138,1,102
8/27/22,239,14,85,159,1,125
8/28/22,240,17,110,179,0,164
8/29/22,241,22,106,185,0,168